pages_visited,session_duration,clicks,javascript_enabled,device_type,mouse_movement,hour_of_visit,is_bot
10,323,16,1.0,desktop,1.0,14,0
4,207,15,1.0,mobile,1.0,13,0
6,267,10,1.0,mobile,1.0,18,0
20,69,54,0.0,desktop,0.0,1,1
2,272,11,1.0,desktop,1.0,22,0
4,376,11,1.0,mobile,1.0,13,0
17,89,55,0.0,desktop,0.0,8,1
8,284,15,1.0,desktop,1.0,13,0
4,325,18,1.0,desktop,1.0,17,0
4,326,22,1.0,mobile,1.0,7,0
12,58,59,0.0,desktop,0.0,9,1
19,53,54,0.0,desktop,0.0,21,1
1,422,12,1.0,desktop,1.0,20,0
6,274,20,1.0,mobile,1.0,10,0
9,97,55,0.0,mobile,0.0,20,1
14,92,51,0.0,desktop,0.0,4,1
5,322,17,1.0,desktop,1.0,10,0
5,374,21,1.0,tablet,1.0,13,0
16,65,58,0.0,desktop,0.0,0,1
10,37,43,0.0,desktop,0.0,21,1
22,74,50,0.0,desktop,0.0,20,1
2,290,15,1.0,mobile,1.0,17,0
7,334,22,1.0,mobile,1.0,12,0
5,268,17,1.0,desktop,1.0,18,0
29,33,57,0.0,desktop,0.0,0,1
2,264,14,1.0,mobile,1.0,12,0
9,265,21,1.0,desktop,1.0,7,0
7,210,9,1.0,mobile,1.0,13,0
15,78,46,0.0,desktop,0.0,3,1
11,33,55,0.0,desktop,0.0,4,1
2,280,8,1.0,desktop,1.0,11,0
26,64,55,0.0,desktop,0.0,13,1
7,333,14,1.0,desktop,1.0,20,0
13,48,40,0.0,desktop,0.0,2,1
25,36,51,0.0,desktop,0.0,14,1
4,303,9,1.0,mobile,1.0,13,0
5,210,12,1.0,desktop,1.0,12,0
8,404,18,1.0,desktop,1.0,11,0
5,282,13,1.0,mobile,1.0,22,0
17,82,49,0.0,desktop,0.0,19,1
5,241,26,1.0,mobile,1.0,8,0
17,70,36,0.0,desktop,0.0,7,1
16,98,55,0.0,desktop,0.0,2,1
7,300,17,1.0,desktop,1.0,22,0
24,46,46,0.0,mobile,0.0,19,1
19,71,46,0.0,desktop,0.0,14,1
4,284,16,1.0,mobile,1.0,17,0
3,306,16,1.0,mobile,1.0,14,0
24,40,52,0.0,desktop,0.0,5,1
22,55,66,0.0,desktop,0.0,23,1
19,53,47,0.0,desktop,0.0,23,1
6,399,17,1.0,desktop,1.0,16,0
3,260,15,1.0,desktop,1.0,7,0
17,24,56,0.0,desktop,0.0,18,1
6,242,22,1.0,mobile,1.0,8,0
24,80,54,0.0,desktop,0.0,14,1
5,325,13,1.0,desktop,1.0,7,0
6,304,15,1.0,mobile,1.0,18,0
1,281,15,1.0,desktop,1.0,18,0
3,357,10,1.0,mobile,1.0,10,0
16,73,49,0.0,desktop,0.0,11,1
22,49,55,0.0,desktop,0.0,21,1
23,88,39,0.0,desktop,0.0,2,1
3,196,12,1.0,desktop,1.0,22,0
17,95,49,0.0,desktop,0.0,18,1
4,306,11,1.0,desktop,1.0,17,0
7,285,12,1.0,mobile,1.0,10,0
2,264,14,1.0,tablet,1.0,20,0
3,254,19,1.0,desktop,1.0,16,0
3,243,17,1.0,desktop,1.0,17,0
2,238,16,1.0,mobile,1.0,12,0
16,47,50,0.0,mobile,0.0,13,1
